Mean R,Mean G,Mean B,Std R,Std G,Std B,Green %,Contrast,Energy,Homogeneity,LBP0,LBP1,LBP2,LBP3,LBP4,LBP5,LBP6,LBP7,LBP8,LBP9,Edge Density,Num Contours,Max Contour Area,Avg Circularity,Label
0.5201032,0.5689019,0.4536004,0.21967353,0.1696946,0.26345798,56.8603515625,769.6114276960785,0.009714993336959795,0.06367135120366783,0.1344757080078125,0.1103668212890625,0.0538787841796875,0.0518951416015625,0.0521697998046875,0.0561981201171875,0.0565338134765625,0.108795166015625,0.1494140625,0.2262725830078125,51.55174255371094,661,634.5,0.08622315968589231,0
0.40184578,0.48934165,0.39823794,0.24762097,0.19842316,0.29655126,63.42315673828125,592.6359834558825,0.013349465331565181,0.13658014857251016,0.1046600341796875,0.101715087890625,0.0551300048828125,0.073577880859375,0.08270263671875,0.0843963623046875,0.070098876953125,0.10247802734375,0.131683349609375,0.1935577392578125,40.28343200683594,471,307.0,0.0759791015254731,0
0.53818655,0.57528996,0.48238623,0.21101709,0.16934098,0.24180569,49.676513671875,996.1168658088237,0.008470771604726491,0.05118645357279576,0.148468017578125,0.112152099609375,0.048492431640625,0.03955078125,0.040008544921875,0.043121337890625,0.0496978759765625,0.1106414794921875,0.164154052734375,0.24371337890625,64.90562438964844,1055,492.0,0.07889419799694458,0
0.5308486,0.57867056,0.49779126,0.20023502,0.13863078,0.23140347,50.52032470703125,732.6698376225492,0.013150026779589982,0.10286143764514732,0.12200927734375,0.1080780029296875,0.0547332763671875,0.059814453125,0.0605926513671875,0.0643768310546875,0.0637969970703125,0.1081390380859375,0.1419830322265625,0.2164764404296875,49.41558837890625,625,763.0,0.09558426976141492,0
0.4980788,0.53924245,0.44520772,0.22981825,0.17515856,0.2655243,52.64892578125,939.7251072303923,0.011395617463674892,0.07996258759609168,0.1283111572265625,0.1066741943359375,0.0535125732421875,0.0588531494140625,0.0555419921875,0.05877685546875,0.0584259033203125,0.1092987060546875,0.1493988037109375,0.2212066650390625,47.44285583496094,684,225.5,0.10814283802850823,0
0.46534592,0.52294064,0.43787837,0.16480148,0.109767936,0.19830696,58.6669921875,333.0348651960785,0.018003252348886507,0.11637387668019575,0.110626220703125,0.109527587890625,0.0581207275390625,0.06805419921875,0.070648193359375,0.0745391845703125,0.0692901611328125,0.107391357421875,0.1290435791015625,0.2027587890625,31.668777465820312,354,285.5,0.08357484902997656,0
0.59213674,0.63210064,0.5186278,0.1945347,0.16124833,0.24341321,52.8839111328125,986.656816789216,0.010157774816774668,0.06622977900121879,0.1361846923828125,0.1099395751953125,0.0524749755859375,0.049102783203125,0.0502471923828125,0.0538330078125,0.056427001953125,0.1107330322265625,0.152618408203125,0.2284393310546875,54.403839111328125,710,507.5,0.07093008114272753,0
0.50758004,0.56154346,0.43264648,0.17816928,0.12548384,0.23854709,55.48858642578125,571.3494638480394,0.014470635022676055,0.11516396921178788,0.1152801513671875,0.10821533203125,0.0566558837890625,0.0626983642578125,0.0680084228515625,0.067962646484375,0.06475830078125,0.109283447265625,0.1388397216796875,0.2082977294921875,42.80479431152344,617,548.5,0.09725533379059545,0
0.4117204,0.48157147,0.3673848,0.19366767,0.16218542,0.27972406,58.87603759765625,647.7541819852943,0.012033330337064848,0.1041443993167114,0.1144561767578125,0.10345458984375,0.0557098388671875,0.0676727294921875,0.076446533203125,0.0720977783203125,0.065460205078125,0.1037139892578125,0.1376190185546875,0.203369140625,48.64128112792969,547,493.0,0.07530139412309964,0
0.40572935,0.47786608,0.39530694,0.23487623,0.17859963,0.28682047,53.55987548828125,681.5011335784314,0.013701491117734626,0.11828666315580422,0.1107330322265625,0.1023101806640625,0.0537567138671875,0.070831298828125,0.079193115234375,0.07525634765625,0.0677337646484375,0.101165771484375,0.138824462890625,0.2001953125,46.05766296386719,522,2745.5,0.08922452759274796,0
