epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,495.13,1.28642,1.09496,1.1023,0.64746,0.65619,0.73604,0.41073,1.60644,1.23573,1.30988,0.000231088,0.000231088,0.000231088
42,514.268,1.19631,0.98749,1.07534,0.62885,0.66988,0.72923,0.4089,1.57753,1.30799,1.3105,0.00020909,0.00020909,0.00020909
43,528.715,1.20433,0.96077,1.06532,0.71678,0.63802,0.73301,0.40964,1.57559,1.24923,1.30132,0.000187092,0.000187092,0.000187092
44,538.588,1.18889,0.9258,1.06154,0.69558,0.65721,0.73427,0.41329,1.57524,1.20533,1.31157,0.000165095,0.000165095,0.000165095
45,554.477,1.17819,0.89757,1.05884,0.6441,0.71611,0.73476,0.41249,1.57841,1.18912,1.32006,0.000143097,0.000143097,0.000143097
46,565.943,1.1438,0.87486,1.05809,0.65728,0.67588,0.71725,0.39477,1.63465,1.22632,1.35724,0.000121099,0.000121099,0.000121099
47,577,1.16894,0.91241,1.07908,0.65032,0.67677,0.71167,0.39847,1.62697,1.22806,1.34772,9.91012e-05,9.91012e-05,9.91012e-05
48,590.057,1.1359,0.87309,1.05961,0.64095,0.68809,0.7199,0.39143,1.59526,1.20998,1.32097,7.71034e-05,7.71034e-05,7.71034e-05
49,603.624,1.13132,0.86122,1.05663,0.67538,0.66208,0.72023,0.39046,1.60722,1.20694,1.3287,5.51056e-05,5.51056e-05,5.51056e-05
50,612.753,1.10417,0.85159,1.04776,0.65443,0.67289,0.71824,0.40066,1.62993,1.21139,1.34564,3.31078e-05,3.31078e-05,3.31078e-05
