                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3026,                 1.0311,                 1.1154,                0.62157,                 0.7277,                0.75001,                0.42131,                 1.6544,                 1.2627,                 1.3209,             0.00038507,             0.00038507,             0.00038507
                     35,                 1.3074,                 1.0019,                 1.0968,                0.62536,                0.72099,                0.75755,                0.43122,                 1.6132,                 1.2326,                 1.3034,             0.00036307,             0.00036307,             0.00036307
                     36,                  1.271,                0.98802,                 1.0852,                0.62515,                0.70997,                 0.7465,                0.42565,                 1.6466,                 1.2614,                 1.3253,             0.00034108,             0.00034108,             0.00034108
                     37,                 1.2779,                0.98137,                 1.0915,                0.62983,                0.72446,                0.75293,                0.42964,                 1.6334,                 1.2493,                 1.3214,             0.00031908,             0.00031908,             0.00031908
                     38,                 1.2704,                 0.9692,                 1.1183,                0.71934,                0.68143,                0.75471,                0.40709,                 1.6243,                 1.2266,                 1.3159,             0.00029708,             0.00029708,             0.00029708
                     39,                 1.2908,                0.94802,                  1.086,                0.70647,                0.69421,                0.74547,                0.38951,                 1.6891,                  1.231,                 1.3399,             0.00027508,             0.00027508,             0.00027508
                     40,                 1.2953,                0.96322,                 1.0931,                0.72923,                0.68021,                0.75109,                0.39816,                  1.678,                 1.2571,                   1.33,             0.00025309,             0.00025309,             0.00025309
                     41,                 1.2948,                 1.1021,                 1.1078,                0.72973,                0.64171,                0.74037,                0.38576,                 1.7308,                 1.3228,                 1.3633,             0.00023109,             0.00023109,             0.00023109
                     42,                 1.2095,                 1.0072,                 1.0804,                0.65485,                0.67824,                0.74239,                0.39597,                 1.6741,                 1.3516,                 1.3431,             0.00020909,             0.00020909,             0.00020909
                     43,                 1.2142,                0.97191,                 1.0689,                0.79014,                0.61457,                0.74672,                0.40304,                 1.6553,                 1.2713,                 1.3341,             0.00018709,             0.00018709,             0.00018709
                     44,                 1.1808,                0.91886,                  1.057,                0.72989,                0.66522,                0.74236,                  0.405,                 1.6551,                 1.2209,                 1.3411,             0.00016509,             0.00016509,             0.00016509
                     45,                 1.1868,                0.91198,                 1.0631,                0.70226,                0.69254,                0.73898,                0.40356,                 1.6726,                 1.2181,                 1.3575,              0.0001431,              0.0001431,              0.0001431
                     46,                 1.1416,                0.86935,                 1.0513,                0.70593,                 0.6935,                0.73411,                0.41152,                 1.6851,                  1.216,                 1.3617,              0.0001211,              0.0001211,              0.0001211
                     47,                 1.1701,                0.91052,                 1.0773,                 0.7097,                0.67257,                0.73636,                0.40831,                 1.6591,                 1.2246,                 1.3412,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     48,                 1.1435,                0.87533,                 1.0643,                0.68338,                0.69677,                0.73763,                0.39795,                 1.6505,                 1.2202,                 1.3363,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     49,                 1.1368,                0.86353,                 1.0567,                0.69841,                0.67901,                0.73983,                0.39704,                 1.6633,                 1.2145,                 1.3435,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     50,                 1.1215,                0.84533,                  1.057,                0.70514,                  0.684,                0.73605,                0.39076,                 1.6786,                 1.2171,                 1.3538,             3.3108e-05,             3.3108e-05,             3.3108e-05
