                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     19,                 1.4081,                 1.2605,                 1.1795,                0.71898,                0.73436,                0.75761,                0.45755,                 1.4481,                 1.1313,                 1.2324,             0.00071504,             0.00071504,             0.00071504
                     20,                 1.3819,                 1.2107,                 1.1699,                0.74782,                0.69753,                 0.7612,                0.46454,                 1.4257,                 1.1236,                 1.2259,             0.00069304,             0.00069304,             0.00069304
                     21,                 1.3716,                 1.1994,                  1.175,                0.79357,                0.67889,                0.78276,                0.50588,                 1.4235,                 1.2195,                  1.217,             0.00067104,             0.00067104,             0.00067104
                     22,                 1.3395,                 1.1841,                 1.1499,                0.73134,                0.71349,                0.77262,                0.48516,                 1.4457,                 1.1892,                 1.2512,             0.00064905,             0.00064905,             0.00064905
                     23,                 1.3477,                 1.1828,                 1.1456,                0.68865,                0.68317,                0.73716,                0.44746,                 1.4163,                 1.2446,                 1.2512,             0.00062705,             0.00062705,             0.00062705
                     24,                 1.3592,                 1.1663,                 1.1756,                0.69622,                 0.7593,                0.78791,                0.49444,                  1.402,                 1.0715,                  1.214,             0.00060505,             0.00060505,             0.00060505
                     25,                 1.3432,                 1.1374,                 1.1463,                0.76081,                0.66798,                0.76931,                 0.4714,                 1.4515,                 1.1376,                 1.2266,             0.00058305,             0.00058305,             0.00058305
                     26,                 1.3337,                 1.1225,                 1.1298,                 0.7173,                0.71011,                0.77508,                0.46369,                 1.4825,                 1.0973,                 1.2494,             0.00056105,             0.00056105,             0.00056105
                     27,                 1.3125,                 1.1168,                 1.1303,                0.75727,                0.69538,                0.77584,                0.48686,                 1.3978,                 1.0857,                  1.207,             0.00053906,             0.00053906,             0.00053906
                     28,                 1.2747,                 1.0786,                 1.1242,                0.75883,                0.73545,                0.78217,                0.48154,                 1.4614,                 1.0616,                  1.245,             0.00051706,             0.00051706,             0.00051706
                     29,                 1.2851,                 1.0644,                 1.1162,                0.79318,                0.65336,                0.78318,                0.50463,                 1.3512,                 1.0082,                 1.1884,             0.00049506,             0.00049506,             0.00049506
                     30,                 1.2895,                 1.0489,                 1.1099,                0.75995,                0.75423,                0.81001,                0.51822,                 1.3314,                0.96984,                 1.1898,             0.00047306,             0.00047306,             0.00047306
                     31,                   1.29,                 1.0445,                  1.119,                0.79904,                0.72443,                0.81277,                0.51338,                 1.3497,                0.98108,                 1.2037,             0.00045107,             0.00045107,             0.00045107
                     32,                 1.2946,                 1.0328,                 1.1102,                0.75437,                0.77895,                0.81136,                0.50442,                 1.3605,                0.97798,                 1.1942,             0.00042907,             0.00042907,             0.00042907
                     33,                 1.2798,                 1.0252,                 1.1056,                0.72753,                0.75336,                0.82554,                0.53846,                 1.3384,                 1.0274,                 1.1883,             0.00040707,             0.00040707,             0.00040707
                     34,                 1.2409,                0.98969,                 1.1024,                0.83374,                  0.759,                0.84513,                0.55141,                 1.2862,                 0.9062,                 1.1651,             0.00038507,             0.00038507,             0.00038507
                     35,                 1.2438,                 1.0019,                 1.0936,                0.79883,                0.71838,                0.79675,                 0.5006,                 1.3387,                 1.0513,                 1.1867,             0.00036307,             0.00036307,             0.00036307
                     36,                   1.21,                0.95663,                  1.088,                0.79199,                0.75691,                0.82824,                0.52517,                 1.3518,                0.93219,                 1.1917,             0.00034108,             0.00034108,             0.00034108
                     37,                 1.2175,                0.97144,                 1.0934,                0.79801,                 0.7094,                0.79782,                0.49236,                 1.4161,                 1.0003,                  1.227,             0.00031908,             0.00031908,             0.00031908
                     38,                 1.1973,                0.93723,                 1.0907,                0.82605,                0.76649,                 0.8458,                0.54862,                 1.2882,                0.88263,                 1.1645,             0.00029708,             0.00029708,             0.00029708
                     39,                 1.1947,                0.91684,                  1.067,                0.79744,                0.77813,                0.84179,                0.54736,                 1.2978,                0.89049,                 1.1595,             0.00027508,             0.00027508,             0.00027508
                     40,                 1.1977,                0.92522,                  1.078,                0.86293,                0.75339,                0.84751,                 0.5564,                 1.2709,                 0.8684,                 1.1501,             0.00025309,             0.00025309,             0.00025309
                     41,                 1.1822,                0.98032,                  1.086,                 0.8479,                0.74571,                0.84638,                0.54667,                 1.2927,                0.94528,                 1.1587,             0.00023109,             0.00023109,             0.00023109
                     42,                 1.1724,                0.92512,                 1.0868,                0.82294,                 0.7571,                 0.8452,                0.53473,                 1.3032,                0.90241,                 1.1684,             0.00020909,             0.00020909,             0.00020909
                     43,                 1.1461,                 0.8965,                  1.065,                0.81599,                0.75299,                0.83277,                0.51319,                 1.3563,                0.93243,                 1.1887,             0.00018709,             0.00018709,             0.00018709
                     44,                 1.1405,                0.86382,                 1.0461,                0.81086,                0.76895,                0.83796,                0.53703,                 1.2933,                 0.8924,                 1.1651,             0.00016509,             0.00016509,             0.00016509
                     45,                 1.1048,                0.84642,                 1.0543,                0.79178,                0.77691,                0.83782,                  0.531,                 1.3098,                0.88451,                 1.1755,              0.0001431,              0.0001431,              0.0001431
                     46,                  1.093,                0.83817,                 1.0422,                0.77297,                0.79627,                0.83838,                0.51739,                 1.3776,                0.90446,                 1.2072,              0.0001211,              0.0001211,              0.0001211
                     47,                 1.0837,                 0.8201,                  1.038,                0.85309,                0.74239,                 0.8487,                0.54375,                 1.3243,                0.86539,                 1.1747,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     48,                 1.0843,                0.80731,                 1.0424,                0.83589,                0.75238,                 0.8483,                0.54312,                 1.3269,                0.86344,                 1.1782,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     49,                 1.0719,                0.80167,                 1.0285,                0.84168,                0.75326,                0.85341,                0.55448,                  1.276,                0.83858,                 1.1577,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     50,                  1.071,                0.79452,                 1.0346,                0.84982,                0.74879,                0.85348,                0.55435,                 1.2813,                0.84086,                 1.1606,             3.3108e-05,             3.3108e-05,             3.3108e-05
