                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9021,                 3.9276,                 1.5102,                  0.009,                0.20713,                0.03219,                0.01442,                 1.7129,                  3.764,                 1.2607,             0.00025553,             0.00025553,             0.00025553
                      2,                 1.7373,                 2.6451,                 1.2937,                0.60562,                0.03552,                0.17798,                0.08542,                 1.6537,                 3.5689,                 1.4045,             0.00051183,             0.00051183,             0.00051183
                      3,                 1.7196,                 2.2674,                 1.2786,                0.49868,                0.29152,                0.32832,                0.15486,                 1.9123,                 2.5356,                 1.4243,             0.00075757,             0.00075757,             0.00075757
                      4,                 1.6165,                 2.0421,                 1.2787,                0.51767,                0.44142,                0.49014,                0.26302,                  1.624,                 2.2802,                 1.2642,             0.00099276,             0.00099276,             0.00099276
                      5,                 1.5929,                 1.8696,                 1.2524,                0.49882,                0.56644,                0.50998,                0.29833,                 1.5909,                 2.0641,                  1.263,               0.001023,               0.001023,               0.001023
                      6,                 1.5425,                 1.7201,                 1.2486,                0.53177,                0.61497,                0.60985,                0.33675,                 1.6521,                 1.7452,                 1.3724,               0.001001,               0.001001,               0.001001
                      7,                 1.5758,                 1.7131,                 1.2723,                0.62564,                0.64789,                0.67208,                0.39752,                 1.5289,                 1.5866,                 1.2771,             0.00097901,             0.00097901,             0.00097901
                      8,                 1.5064,                 1.6198,                 1.2446,                0.63301,                0.61493,                 0.6771,                0.40071,                 1.4876,                 1.6526,                 1.2576,             0.00095702,             0.00095702,             0.00095702
                      9,                 1.4956,                 1.5563,                 1.2487,                0.70371,                0.61639,                0.71231,                0.41615,                 1.5477,                 1.5103,                 1.3191,             0.00093502,             0.00093502,             0.00093502
                     10,                 1.4979,                 1.5333,                 1.2513,                0.73668,                0.67024,                 0.7304,                0.42677,                 1.5259,                 1.3889,                 1.2911,             0.00091302,             0.00091302,             0.00091302
                     11,                 1.4836,                 1.4818,                  1.212,                0.73158,                0.62486,                 0.7074,                0.41981,                 1.5132,                 1.3761,                 1.3148,             0.00089102,             0.00089102,             0.00089102
                     12,                  1.459,                 1.4476,                 1.2296,                0.56536,                0.61637,                0.64112,                0.36203,                 1.6646,                 1.7143,                  1.409,             0.00086902,             0.00086902,             0.00086902
                     13,                 1.4642,                 1.4034,                 1.2174,                0.67885,                0.59197,                0.65606,                0.38679,                 1.5423,                 1.5983,                 1.3186,             0.00084703,             0.00084703,             0.00084703
                     14,                 1.4385,                 1.4046,                 1.2098,                0.65099,                  0.629,                0.70891,                0.41961,                 1.5028,                 1.3228,                 1.2748,             0.00082503,             0.00082503,             0.00082503
                     15,                 1.4154,                 1.3401,                 1.2001,                0.65848,                0.67304,                0.70803,                0.42905,                 1.4695,                 1.2773,                 1.2522,             0.00080303,             0.00080303,             0.00080303
                     16,                 1.3825,                 1.2913,                 1.1734,                0.70556,                 0.6604,                0.74847,                0.47018,                 1.4472,                 1.2351,                 1.2478,             0.00078103,             0.00078103,             0.00078103
                     17,                 1.4278,                 1.3169,                 1.1984,                0.56593,                0.76015,                0.76651,                0.46496,                 1.3947,                 1.1614,                 1.2267,             0.00075904,             0.00075904,             0.00075904
                     18,                 1.3958,                 1.2678,                 1.1822,                0.75346,                0.62314,                0.74675,                 0.4478,                 1.4448,                 1.3376,                 1.2422,             0.00073704,             0.00073704,             0.00073704
